2020-07-24 16:05:28.128 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lkl.demomsb.DemomsbApplicationTests], using SpringBootContextLoader
2020-07-24 16:05:28.134 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lkl.demomsb.DemomsbApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-24 16:05:28.135 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lkl.demomsb.DemomsbApplicationTests]: DemomsbApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-24 16:05:28.231 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lkl.demomsb.DemomsbApplication for test class com.lkl.demomsb.DemomsbApplicationTests
2020-07-24 16:05:28.326 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-24 16:05:28.354 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@431cd9b2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@38467116, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5b7a7f33, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@790da477, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5c7933ad, org.springframework.test.context.transaction.TransactionalTestExecutionListener@57bc27f5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5fb759d6, org.springframework.test.context.event.EventPublishingTestExecutionListener@4b8d604b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5e7cd6cc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@68c9d179, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@d554c5f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2dfaea86, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@15888343]
2020-07-24 16:05:28.655 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Starting DemomsbApplicationTests on DESKTOP-LAKALA with PID 9096 (started by gg in E:\ideaProject\demomsb)
2020-07-24 16:05:28.656 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - No active profile set, falling back to default profiles: default
2020-07-24 16:05:29.913 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-24 16:05:30.227 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Started DemomsbApplicationTests in 1.819 seconds (JVM running for 2.861)
2020-07-24 16:05:30.381 [main] INFO  com.lkl.demomsb.service.ServiceC - org.springframework.jdbc.core.JdbcTemplate@1894593a
2020-07-24 16:05:30.382 [main] INFO  com.lkl.demomsb.service.ServiceC - org.springframework.jdbc.core.JdbcTemplate@1894593a
2020-07-24 16:05:30.458 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-24 16:05:30.675 [main] INFO  com.lkl.demomsb.service.ServiceC - fun1执行了，结果:[Student{id=1, name='张三', birthday=null}, Student{id=2, name='李四', birthday=null}, Student{id=3, name='王五', birthday=null}]
2020-07-24 16:05:30.688 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-24 16:05:30.689 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-07-24 16:05:30.696 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
