2020-07-28 10:30:03.711 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56276db8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@51e8e6e6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@56f6d40b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@36676c1a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5b408dc3, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4d098f9b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2dbf4cbd, org.springframework.test.context.event.EventPublishingTestExecutionListener@20b5f2ac, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7fc44dec, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7e3060d8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@293d0107, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2692b61e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7b64240d]
2020-07-28 10:30:04.024 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Starting DemomsbApplicationTests on DESKTOP-LAKALA with PID 4080 (started by gg in E:\ideaProject\demomsb)
2020-07-28 10:30:04.025 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - No active profile set, falling back to default profiles: default
2020-07-28 10:30:06.753 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static methods: public static void com.lkl.demomsb.service.ReadPropertiesService.setUrl(java.lang.String)
2020-07-28 10:30:09.509 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-28 10:30:11.872 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Started DemomsbApplicationTests in 8.109 seconds (JVM running for 9.505)
2020-07-28 10:30:38.769 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-28 10:30:38.771 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-28 10:30:48.284 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lkl.demomsb.DemomsbApplicationTests], using SpringBootContextLoader
2020-07-28 10:30:48.292 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lkl.demomsb.DemomsbApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-28 10:30:48.292 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lkl.demomsb.DemomsbApplicationTests]: DemomsbApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-28 10:30:48.436 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lkl.demomsb.DemomsbApplication for test class com.lkl.demomsb.DemomsbApplicationTests
2020-07-28 10:30:48.568 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-28 10:30:48.589 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56276db8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@51e8e6e6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@56f6d40b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@36676c1a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5b408dc3, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4d098f9b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2dbf4cbd, org.springframework.test.context.event.EventPublishingTestExecutionListener@20b5f2ac, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7fc44dec, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7e3060d8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@293d0107, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2692b61e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7b64240d]
2020-07-28 10:30:48.845 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Starting DemomsbApplicationTests on DESKTOP-LAKALA with PID 18444 (started by gg in E:\ideaProject\demomsb)
2020-07-28 10:30:48.846 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - No active profile set, falling back to default profiles: default
2020-07-28 10:30:54.483 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-28 10:30:56.906 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Started DemomsbApplicationTests in 8.268 seconds (JVM running for 9.637)
2020-07-28 10:31:11.763 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-28 10:31:11.765 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-28 10:31:35.385 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lkl.demomsb.DemomsbApplicationTests], using SpringBootContextLoader
2020-07-28 10:31:35.393 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lkl.demomsb.DemomsbApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-28 10:31:35.395 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lkl.demomsb.DemomsbApplicationTests]: DemomsbApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-28 10:31:35.536 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lkl.demomsb.DemomsbApplication for test class com.lkl.demomsb.DemomsbApplicationTests
2020-07-28 10:31:35.688 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-28 10:31:35.710 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@9ed238c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@56276db8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51e8e6e6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@56f6d40b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@36676c1a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5b408dc3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4d098f9b, org.springframework.test.context.event.EventPublishingTestExecutionListener@2dbf4cbd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@20b5f2ac, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7fc44dec, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7e3060d8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@293d0107, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2692b61e]
2020-07-28 10:31:35.967 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Starting DemomsbApplicationTests on DESKTOP-LAKALA with PID 11076 (started by gg in E:\ideaProject\demomsb)
2020-07-28 10:31:35.967 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - No active profile set, falling back to default profiles: default
2020-07-28 10:31:41.407 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-28 10:31:43.794 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Started DemomsbApplicationTests in 8.033 seconds (JVM running for 9.354)
2020-07-28 10:32:58.274 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-28 10:32:58.275 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-28 10:33:12.101 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lkl.demomsb.DemomsbApplicationTests], using SpringBootContextLoader
2020-07-28 10:33:12.110 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lkl.demomsb.DemomsbApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-28 10:33:12.112 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lkl.demomsb.DemomsbApplicationTests]: DemomsbApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-28 10:33:12.250 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lkl.demomsb.DemomsbApplication for test class com.lkl.demomsb.DemomsbApplicationTests
2020-07-28 10:33:12.378 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-28 10:33:12.405 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@9ed238c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@56276db8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51e8e6e6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@56f6d40b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@36676c1a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5b408dc3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4d098f9b, org.springframework.test.context.event.EventPublishingTestExecutionListener@2dbf4cbd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@20b5f2ac, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7fc44dec, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7e3060d8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@293d0107, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2692b61e]
2020-07-28 10:33:12.704 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Starting DemomsbApplicationTests on DESKTOP-LAKALA with PID 24224 (started by gg in E:\ideaProject\demomsb)
2020-07-28 10:33:12.705 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - No active profile set, falling back to default profiles: default
2020-07-28 10:33:18.228 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-28 10:33:20.653 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Started DemomsbApplicationTests in 8.177 seconds (JVM running for 9.498)
2020-07-28 11:26:02.083 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-28 11:26:02.090 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-28 11:33:28.719 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lkl.demomsb.DemomsbApplicationTests], using SpringBootContextLoader
2020-07-28 11:33:28.727 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lkl.demomsb.DemomsbApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-28 11:33:28.728 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lkl.demomsb.DemomsbApplicationTests]: DemomsbApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-28 11:33:28.872 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lkl.demomsb.DemomsbApplication for test class com.lkl.demomsb.DemomsbApplicationTests
2020-07-28 11:33:29.012 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-28 11:33:29.042 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@9ed238c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@56276db8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51e8e6e6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@56f6d40b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@36676c1a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5b408dc3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4d098f9b, org.springframework.test.context.event.EventPublishingTestExecutionListener@2dbf4cbd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@20b5f2ac, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7fc44dec, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7e3060d8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@293d0107, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2692b61e]
2020-07-28 11:33:29.365 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Starting DemomsbApplicationTests on DESKTOP-LAKALA with PID 6612 (started by gg in E:\ideaProject\demomsb)
2020-07-28 11:33:29.365 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - No active profile set, falling back to default profiles: default
2020-07-28 11:33:34.807 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-28 11:33:37.227 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Started DemomsbApplicationTests in 8.135 seconds (JVM running for 9.463)
2020-07-28 11:34:45.785 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-28 11:34:45.787 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
