2020-07-29 09:28:41.569 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lkl.demomsb.DemomsbApplicationTests], using SpringBootContextLoader
2020-07-29 09:28:41.575 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lkl.demomsb.DemomsbApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-29 09:28:41.576 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lkl.demomsb.DemomsbApplicationTests]: DemomsbApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-29 09:28:41.753 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lkl.demomsb.DemomsbApplication for test class com.lkl.demomsb.DemomsbApplicationTests
2020-07-29 09:28:41.897 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-29 09:28:41.918 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56276db8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@51e8e6e6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@56f6d40b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@36676c1a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5b408dc3, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4d098f9b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2dbf4cbd, org.springframework.test.context.event.EventPublishingTestExecutionListener@20b5f2ac, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7fc44dec, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7e3060d8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@293d0107, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2692b61e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7b64240d]
2020-07-29 09:28:42.335 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Starting DemomsbApplicationTests on DESKTOP-IIAFQPV with PID 2876 (started by 12619 in F:\demomsb)
2020-07-29 09:28:42.337 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - No active profile set, falling back to default profiles: default
2020-07-29 09:28:44.003 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-29 09:28:44.390 [main] INFO  com.lkl.demomsb.DemomsbApplicationTests - Started DemomsbApplicationTests in 2.412 seconds (JVM running for 4.487)
2020-07-29 09:29:17.130 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
